127.0.0.1 - - [23/Nov/2020:18:54:15 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Nov/2020:18:54:16 +0700] "GET /ecommerce/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2020:18:54:16 +0700] "GET /ecommerce/view/admin/product/list-product.jsp;jsessionid=1BBECEE8ED3F86E240E21711DF67DB54 HTTP/1.1" 200 22834
0:0:0:0:0:0:0:1 - - [23/Nov/2020:18:54:16 +0700] "GET /ecommerce/template/admin/assets/plugins/toaster/toastr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2020:18:54:16 +0700] "GET /ecommerce/template/admin/assets/plugins/nprogress/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2020:18:54:16 +0700] "GET /ecommerce/template/admin/assets/plugins/jvectormap/jquery-jvectormap-2.0.3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2020:18:54:16 +0700] "GET /ecommerce/template/admin/assets/plugins/flag-icons/css/flag-icon.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2020:18:54:16 +0700] "GET /ecommerce/template/admin/assets/plugins/ladda/ladda.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2020:18:54:16 +0700] "GET /ecommerce/template/admin/assets/plugins/select2/css/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2020:18:54:16 +0700] "GET /ecommerce/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2020:18:54:16 +0700] "GET /ecommerce/template/admin/assets/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2020:18:54:16 +0700] "GET /ecommerce/template/admin/assets/css/fashi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2020:18:54:16 +0700] "GET /ecommerce/template/admin/fontawesome/css/font-awesome.min.css HTTP/1.1" 304 -
