127.0.0.1 - - [18/Nov/2020:09:52:25 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:26 +0700] "GET /ecommerce/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /ecommerce/view/admin/product/list-product.jsp;jsessionid=993C57E79C60C89DABD0E61FA311B52E HTTP/1.1" 200 21813
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /ecommerce/template/admin/assets/css/fashi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /ecommerce/template/admin/assets/js/sleek.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /ecommerce/template/admin/assets/js/date-range.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /ecommerce/template/admin/images/products/product-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /ecommerce/template/admin/images/products/product-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /ecommerce/template/admin/images/products/product-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /ecommerce/template/admin/images/products/product-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /ecommerce/template/admin/images/products/product-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /ecommerce/template/admin/images/products/product-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /ecommerce/template/admin/images/products/product-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /ecommerce/template/admin/images/products/product-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:27 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:33 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 16653
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:52:33 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:56:11 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 16833
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:56:12 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:56:12 +0700] "GET /ecommerce/template/admin/assets/img/favicon.png HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:56:19 +0700] "GET /ecommerce/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:56:19 +0700] "GET /ecommerce/view/admin/product/list-product.jsp HTTP/1.1" 200 21813
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:56:19 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:56:21 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 16833
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:56:21 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:56:32 +0700] "GET /ecommerce/template/admin/assets/plugins/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:56:32 +0700] "GET /ecommerce/template/admin/assets/plugins/toaster/toastr.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:56:32 +0700] "GET /ecommerce/template/admin/assets/css/sleek.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:56:32 +0700] "GET /ecommerce/template/admin/assets/css/bootstrap.min.css.map HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:58:31 +0700] "GET /ecommerce/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:58:31 +0700] "GET /ecommerce/view/admin/product/list-product.jsp HTTP/1.1" 200 21813
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:58:31 +0700] "GET /ecommerce/template/admin/assets/css/bootstrap.min.css.map HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:58:31 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:58:34 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 16833
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:58:34 +0700] "GET /ecommerce/template/admin/assets/css/bootstrap.min.css.map HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:58:34 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:58:59 +0700] "GET /ecommerce/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:58:59 +0700] "GET /ecommerce/view/admin/product/list-product.jsp HTTP/1.1" 200 21813
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:58:59 +0700] "GET /ecommerce/template/admin/assets/css/bootstrap.min.css.map HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:59:00 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:59:14 +0700] "GET /ecommerce/view/admin/order/list-order.jsp HTTP/1.1" 200 17030
0:0:0:0:0:0:0:1 - - [18/Nov/2020:09:59:15 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:01:11 +0700] "GET /ecommerce/view/admin/product/list-product.jsp HTTP/1.1" 200 21813
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:01:12 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:01:12 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 16833
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:01:13 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:01:23 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:01:31 +0700] "GET /ecommerce/template/admin/assets/css/bootstrap.min.css.map HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:04:08 +0700] "GET /ecommerce/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:04:08 +0700] "GET /ecommerce/view/admin/product/list-product.jsp HTTP/1.1" 200 21813
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:04:08 +0700] "GET /ecommerce/template/admin/assets/css/bootstrap.min.css.map HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:04:09 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:04:12 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 16828
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:04:12 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:05:33 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 17088
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:05:34 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:05:34 +0700] "GET /ecommerce/template/admin/assets/img/favicon.png HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:06:26 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 17086
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:06:27 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:06:27 +0700] "GET /ecommerce/template/admin/assets/img/favicon.png HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:12:18 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 17432
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:12:18 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:12:18 +0700] "GET /ecommerce/template/admin/assets/img/favicon.png HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:12:55 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 17451
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:12:56 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:12:56 +0700] "GET /ecommerce/template/admin/assets/img/favicon.png HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:13:02 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 17451
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:13:03 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:13:03 +0700] "GET /ecommerce/template/admin/assets/img/favicon.png HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:13:03 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 17451
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:13:04 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:13:04 +0700] "GET /ecommerce/template/admin/assets/img/favicon.png HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:13:06 +0700] "GET /ecommerce/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:13:06 +0700] "GET /ecommerce/view/admin/product/list-product.jsp HTTP/1.1" 200 21813
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:13:06 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:13:07 +0700] "GET /ecommerce/view/admin/product/add-product.jsp HTTP/1.1" 200 17451
