0:0:0:0:0:0:0:1 - - [14/Nov/2020:00:18:50 +0700] "GET /ecommerce/template/admin/assets/css/bootstrap.min.css.map HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [14/Nov/2020:00:20:43 +0700] "GET /ecommerce/index.jsp HTTP/1.1" 200 21602
0:0:0:0:0:0:0:1 - - [14/Nov/2020:00:20:44 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
127.0.0.1 - - [14/Nov/2020:12:17:05 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Nov/2020:12:17:12 +0700] "GET /ecommerce/ HTTP/1.1" 200 23300
0:0:0:0:0:0:0:1 - - [14/Nov/2020:12:17:12 +0700] "GET /ecommerce/template/admin/assets/plugins/nprogress/nprogress.css;jsessionid=F589431914DC5E6EC80B03B8371D6E64 HTTP/1.1" 200 1644
0:0:0:0:0:0:0:1 - - [14/Nov/2020:12:17:12 +0700] "GET /ecommerce/template/admin/assets/plugins/toaster/toastr.min.css;jsessionid=F589431914DC5E6EC80B03B8371D6E64 HTTP/1.1" 200 6454
0:0:0:0:0:0:0:1 - - [14/Nov/2020:12:17:12 +0700] "GET /ecommerce/template/admin/assets/plugins/jvectormap/jquery-jvectormap-2.0.3.css;jsessionid=F589431914DC5E6EC80B03B8371D6E64 HTTP/1.1" 200 6769
0:0:0:0:0:0:0:1 - - [14/Nov/2020:12:17:12 +0700] "GET /ecommerce/template/admin/assets/plugins/flag-icons/css/flag-icon.min.css;jsessionid=F589431914DC5E6EC80B03B8371D6E64 HTTP/1.1" 200 33688
0:0:0:0:0:0:0:1 - - [14/Nov/2020:12:17:12 +0700] "GET /ecommerce/template/admin/assets/plugins/ladda/ladda.min.css;jsessionid=F589431914DC5E6EC80B03B8371D6E64 HTTP/1.1" 200 9278
0:0:0:0:0:0:0:1 - - [14/Nov/2020:12:17:12 +0700] "GET /ecommerce/template/admin/assets/plugins/daterangepicker/daterangepicker.css;jsessionid=F589431914DC5E6EC80B03B8371D6E64 HTTP/1.1" 200 9274
0:0:0:0:0:0:0:1 - - [14/Nov/2020:12:17:12 +0700] "GET /ecommerce/template/admin/assets/plugins/select2/css/select2.min.css;jsessionid=F589431914DC5E6EC80B03B8371D6E64 HTTP/1.1" 200 15181
0:0:0:0:0:0:0:1 - - [14/Nov/2020:12:17:12 +0700] "GET /ecommerce/template/admin/assets/css/sleek.css;jsessionid=F589431914DC5E6EC80B03B8371D6E64 HTTP/1.1" 200 317937
